text,category
"This Mutual Non-Disclosure Agreement (this Agreement) is entered into by and between...",Contract
"The plaintiff alleges that the defendant breached the terms of the agreement by failing to...",Litigation
"The Company shall ensure all user data is processed in compliance with the General Data Protection Regulation (GDPR).",Compliance
"A master service agreement (MSA) is a contract reached between parties, in which the parties agree to most of the terms...",Contract
"The court finds that the motion to dismiss is granted without prejudice.",Litigation
"Employees must complete the annual cybersecurity awareness training to maintain compliance.",Compliance
"This lease agreement is made between the Landlord and the Tenant for the property located at...",Contract
"The jury awarded damages in the amount of one million dollars to the plaintiff.",Litigation
"The privacy policy has been updated to reflect the new California Consumer Privacy Act (CCPA) requirements.",Compliance
"IN WITNESS WHEREOF, the parties hereto have executed this Agreement as of the Effective Date.",Contract
"An injunction was filed to prevent the distribution of the copyrighted materials.",Litigation
"All financial records must be retained for a period of seven years in accordance with tax compliance laws.",Compliance
